num_keys,num_operators,length_user_value,length_password_value,length_username_value,contains_email_pattern,contains_ip_pattern,nested_keys_exist,num_nested_keys,contains_numeric_values,contains_boolean_values,contains_empty_strings,contains_fixed_values,unique_key_count,data_type_diversity,total_record_length,special_characters_exist,nested_depth,label
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1
4,0,0,9,0,0,0,0,0,0,0,0,0,4,2,76,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,43,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0
4,0,0,4,0,0,0,0,0,0,0,0,0,4,2,71,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,1
2,1,19,4,0,0,0,1,1,0,0,0,0,2,2,49,1,1,1
2,1,0,17,16,0,0,1,2,0,0,0,0,2,1,62,1,1,0
2,1,0,0,19,0,0,1,1,1,0,0,0,2,2,50,1,1,1
2,0,16,10,0,0,0,1,1,0,0,0,0,2,2,52,1,1,1
2,0,4,4,0,0,0,0,0,0,0,0,0,2,1,36,1,0,0
2,0,18,18,0,0,0,1,2,0,0,0,0,2,1,60,1,1,1
4,0,0,5,0,0,0,0,0,0,0,0,0,4,2,75,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,34,1,2,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,51,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0
2,1,0,0,44,0,0,1,1,1,0,0,0,2,2,76,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0
2,0,5,5,0,0,0,0,0,0,0,0,0,2,1,38,1,0,1
2,1,15,14,0,0,0,1,1,0,0,0,0,2,2,55,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1
2,1,31,15,0,0,0,1,2,0,0,0,0,2,1,70,1,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
2,0,0,0,0,0,0,1,0,0,0,0,0,2,2,31,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,22,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,78,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57,1,0,1
2,0,0,17,0,0,0,1,2,0,0,0,0,2,1,59,1,1,1
1,1,0,0,38,0,0,1,1,0,0,0,0,1,1,52,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,41,1,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0
2,0,7,15,0,0,0,0,0,0,0,0,0,2,1,50,1,0,0
2,1,8,25,0,0,0,1,1,0,0,0,0,2,2,59,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48,1,0,1
1,1,0,0,26,0,0,1,1,0,0,0,0,1,1,40,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,50,1,0,0
2,1,8,25,0,0,0,1,1,0,0,0,0,2,2,59,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
1,1,0,0,19,0,0,1,1,0,0,0,0,1,1,33,1,1,0
1,1,0,0,19,0,0,1,1,0,0,0,0,1,1,33,1,1,0
2,0,0,0,0,0,0,1,0,1,0,0,0,2,2,22,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
2,0,8,0,0,0,0,1,1,0,0,0,0,2,2,46,1,1,0
2,1,6,11,0,0,0,1,1,0,0,0,1,2,2,43,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0
2,0,9,9,0,0,0,0,0,0,0,0,0,2,1,46,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0
2,0,5,6,0,0,0,0,0,0,0,0,0,2,1,39,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1
1,1,0,0,19,0,0,1,1,0,0,0,0,1,1,33,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,75,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,1
2,2,0,15,18,0,0,1,2,0,0,0,0,2,1,61,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,1,0,1
1,1,0,0,17,0,0,1,1,0,0,0,0,1,1,31,1,1,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,22,1,1,1
2,0,5,13,0,0,0,0,0,0,0,0,0,2,1,46,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,48,1,0,1
2,0,12,6,0,0,0,1,1,0,0,0,0,2,2,44,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1
2,1,0,17,16,0,0,1,2,0,0,0,0,2,1,62,1,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,73,1,0,0
2,0,5,2,0,0,0,1,0,0,0,0,0,2,2,33,1,1,1
1,1,0,0,19,0,0,1,1,0,0,0,0,1,1,33,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0
2,1,0,0,38,0,0,1,1,1,0,0,0,2,2,69,1,1,0
2,0,4,7,0,0,0,0,0,0,0,0,0,2,1,39,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,1
1,1,26,0,0,0,0,1,1,0,0,0,0,1,1,36,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57,1,0,1
1,1,0,0,42,0,0,1,2,0,0,0,0,1,1,56,1,1,1
2,1,11,28,0,0,0,1,1,0,0,0,0,2,2,65,1,1,1
2,0,38,16,0,0,0,1,1,0,0,0,0,2,2,80,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,1
2,0,13,14,0,0,0,1,2,0,0,0,0,2,1,51,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0
2,0,17,17,0,0,0,1,2,0,0,0,0,2,1,58,1,1,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,1,1,1
2,1,10,29,0,0,0,1,1,0,0,0,0,2,2,65,1,1,1
2,0,4,9,0,0,0,0,0,0,0,0,0,2,1,41,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,1,1,0
1,1,22,0,0,0,0,1,1,0,0,0,0,1,1,32,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,55,1,0,0
2,0,26,8,0,0,0,1,1,0,0,0,0,2,2,60,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1
2,0,2,4,0,0,0,0,0,0,0,0,0,2,1,34,1,0,0
2,0,12,6,0,0,0,1,1,0,0,0,0,2,2,44,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1
2,1,0,0,0,0,0,1,1,0,0,0,0,2,2,50,1,1,0
2,0,51,8,0,0,0,1,1,0,0,0,0,2,2,85,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1
2,0,41,19,0,0,0,1,1,0,0,0,0,2,2,86,1,1,1
1,1,0,0,36,0,0,1,2,0,0,0,0,1,1,50,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1
4,0,0,0,0,0,0,0,0,1,0,0,0,4,2,71,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
2,0,5,6,0,0,0,0,0,0,0,0,0,2,1,39,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,55,1,0,0
2,1,0,0,44,0,0,1,1,1,0,0,0,2,2,76,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
2,0,2,2,0,0,0,0,0,0,0,0,0,2,1,32,1,0,0
2,0,12,6,0,0,0,1,1,0,0,0,0,2,2,44,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,55,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0
2,1,6,11,0,0,0,1,1,0,0,0,1,2,2,43,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,52,1,0,0
1,1,0,0,25,0,0,1,1,0,0,0,0,1,1,39,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0
2,1,15,17,0,0,0,1,1,0,0,0,0,2,2,58,1,1,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,43,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,1,1,1
2,0,5,11,0,0,0,0,0,0,0,0,0,2,1,44,1,0,1
1,1,0,0,36,0,0,1,1,0,0,0,0,1,1,50,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,1
2,0,12,6,0,0,0,1,1,0,0,0,0,2,2,44,1,1,1
2,0,0,0,0,0,0,1,0,0,0,0,0,2,2,28,1,1,0
2,0,4,4,0,0,0,0,0,0,0,0,0,2,1,36,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0
3,2,0,0,0,0,0,1,2,0,0,0,0,3,2,76,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,1
2,0,13,14,0,0,0,1,1,0,0,0,0,2,2,53,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,57,1,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,1,1,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,35,1,2,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,1,1,1
2,0,0,17,18,0,0,1,2,0,0,0,0,2,1,63,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0
2,1,32,15,0,0,0,1,2,0,0,0,0,2,1,71,1,2,1
2,1,16,4,0,0,0,1,1,0,0,0,0,2,2,46,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1
